boardgame,release_year,min_players,max_players,min_playtime,max_playtime,minimum_age,num_ratings,complexity,wishlisted,total_plays,fans,amazon_price,comments,avg_rating
The Rich and the Good,2008,3,5,45,45,10,2608,2.15,967,6390,125,35.64,655,7.151
The Rose King,1992,2,2,30,30,10,3893,1.94,548,18260,108,19.95,953,6.816
The Search for Lost Species,2023,1,4,60,75,13,1672,2.97,1452,6142,275,31.5,326,7.79
The Search for Planet X,2020,1,4,60,75,13,14531,2.43,6408,57788,1072,40.67,1997,7.913
The Taverns of Tiefenthal,2019,2,4,60,60,12,16135,2.68,4737,67184,1126,69.99,2090,7.576
The Vale of Eternity,2023,2,4,30,45,14,7688,2.14,3668,42917,855,30.12,1077,7.612
The Werewolves of Miller's Hollow,2001,8,18,30,30,10,12444,1.31,706,45472,413,25,2296,6.685
The Witcher: Old World,2023,1,5,90,150,14,7851,2.88,3528,18241,2216,84.95,1519,7.926
The Wolves,2022,2,5,75,75,14,4242,2.81,2322,13788,570,89.95,623,7.267
Things in Rings,2024,2,6,20,20,6,2158,1.38,1029,19859,141,24,393,7.158
This War of Mine: The Board Game,2017,1,6,45,120,18,14108,3.33,6621,28377,1865,65.88,2616,7.766
Through the Ages: A New Story of Civilization,2015,2,4,120,120,14,33740,4.44,9899,144956,2581,79.99,4989,8.261
Thunder Alley,2014,2,7,90,90,10,3670,2.39,957,11645,282,65.9,915,7.29
Thunder Road: Vendetta,2023,2,4,45,75,10,6133,1.95,4400,22835,921,349.79,1041,7.939
Thunderstone Advance: Towers of Ruin,2012,1,5,45,45,12,4793,2.74,873,12479,432,115,1087,7.317
Ticket to Ride Legacy: Legends of the West,2023,2,5,20,90,10,5283,2.58,3587,61837,759,110.58,787,8.669
Ticket to Ride: Europe,2005,2,5,30,60,8,82049,1.92,7107,273518,3377,47.99,11267,7.527
Ticket to Ride: London,2019,2,4,10,15,8,5479,1.34,588,26998,143,25.99,988,7.059
Ticket to Ride: New York,2018,2,4,10,15,8,7459,1.27,591,34400,174,27.99,1312,6.891
Ticket to Ride: Rails & Sails,2016,2,5,60,120,10,5082,2.48,1567,15460,221,76.98,876,7.435
Tidal Blades: Heroes of the Reef,2020,1,4,60,90,14,3221,2.94,2017,7718,821,104,791,7.458
Tikal,1999,2,4,90,90,10,21082,2.78,3731,41546,728,64.9,4744,7.321
Tiletum,2022,1,4,60,100,14,6198,3.39,2791,20447,707,53.59,949,7.867
Time of Crisis: The Roman Empire in Turmoil. 235-284 AD,2017,2,4,120,180,14,2352,3.05,1061,7016,235,79.95,624,7.577
Time's Up!,1999,4,18,90,90,12,6125,1.2,1003,19696,133,19.99,1251,7.284
Time's Up! Title Recall!,2008,4,18,60,60,12,3707,1.19,1119,15821,93,19.95,824,7.681
Tiny Epic Dinosaurs,2020,1,4,30,60,14,4011,2.62,1090,9974,686,29.52,822,7.293
Tiny Epic Dungeons,2021,1,4,30,60,14,5210,3.09,2191,16799,2769,31.9,1110,7.461
Tiny Epic Galaxies,2015,1,5,30,45,14,21736,2.16,4462,73702,1673,22.95,3727,7.326
Tiny Epic Kingdoms,2014,2,5,30,45,13,7893,2.09,1189,15544,821,25.5,2027,6.542
Tiny Epic Quest,2017,1,4,30,60,14,7908,2.68,1986,16056,884,45.92,1764,6.954
Tiny Epic Quest,2017,1,4,30,60,14,7916,2.68,1985,16065,884,29.99,1766,6.953
Tiny Towns,2019,1,6,45,60,14,21299,2.06,5712,100667,1072,39.99,3108,7.199
Tokaido,2012,1,5,45,45,8,27746,1.74,5818,86005,1429,37,4659,6.915
Too Many Bones,2017,1,4,60,120,12,15886,3.87,12583,80318,3572,154.8,2723,8.316
Too Many Bones: Undertow,2018,1,2,60,180,12,3773,4.04,1421,8904,739,99.95,626,8.668
Tortuga 1667,2017,2,9,20,40,12,4007,2.02,1005,8933,343,24.99,1002,6.888
Tower Up,2024,2,4,30,45,8,1792,1.86,1165,8989,196,35.83,331,7.351
Tragedy Looper,2011,2,4,120,120,13,4731,3.55,1529,8568,322,44.04,1136,7.182
Trails,2021,2,4,20,40,10,4294,1.85,1383,11092,364,29.85,767,7.041
Tranquility,2020,1,5,15,20,8,3779,1.34,1251,37647,291,14.99,713,6.942
TransAmerica,2001,2,6,30,30,13,8403,1.35,798,41879,137,32.91,2550,6.69
Trapwords,2018,4,8,30,45,8,3551,1.43,973,9508,128,35,605,6.991
Treasure Island,2018,2,5,45,45,10,6844,2.21,3544,13582,374,52.79,1085,7.206
Trekking the World,2020,2,5,30,60,10,3373,1.92,1153,11828,227,38.99,707,7.051
Trekking Through History,2022,1,4,30,60,10,5967,1.74,3316,23337,580,49.9,994,7.55
Tribes of the Wind,2022,2,5,40,90,14,2977,2.65,1912,9827,351,32.5,482,7.33
Trickerion: Legends of Illusion,2015,2,4,60,180,14,12040,4.26,4329,26281,1338,65,2002,7.97
Trio,2021,3,6,15,15,6,8584,1.05,1811,167268,514,14.99,1403,7.387
Trismegistus: The Ultimate Formula,2019,1,4,90,120,14,3768,4.18,1366,10725,331,65.95,799,7.561
Tsuro,2005,2,8,15,20,8,29916,1.22,4443,147838,1079,34.95,5766,6.667
Turing Machine,2022,1,4,20,20,14,9288,2.5,4463,116796,932,39.99,1372,7.638
Twice as Clever!,2019,1,4,30,30,10,9774,2.28,1097,98928,279,20.47,1426,7.426
Twilight Imperium: Fourth Edition,2017,3,6,240,480,14,26686,4.34,12449,49484,3546,172.29,3972,8.572
Twilight Imperium: Third Edition,2005,3,6,180,240,14,19460,4.26,4365,26133,2161,159.99,4463,7.786
Twilight Inscription,2022,1,8,90,120,14,4768,3.21,2074,13887,497,49.69,746,7.434
Twilight Struggle,2005,2,2,120,180,13,50906,3.61,12794,133314,5372,64.5,10389,8.235
Tyrants of the Underdark,2016,2,4,60,60,14,10213,2.54,3415,33149,821,44.5,1391,7.913
TZAAR,2007,2,2,30,60,13,4060,2.49,1730,19149,226,34.88,1069,7.667
Tzolk'in: The Mayan Calendar,2012,2,4,90,90,13,41310,3.66,9529,131173,2277,59.95,5951,7.85
UBOOT: The Board Game,2019,1,4,30,120,12,2203,4.15,1798,3782,651,179.95,678,7.552
Ulm,2016,2,4,45,75,10,3452,2.69,722,10083,115,20,750,7.011
Unconscious Mind,2024,1,4,60,120,12,5020,4,4810,14901,2074,66.38,1083,7.932
Undaunted: Normandy,2019,2,2,45,60,14,13381,2.26,4633,53996,1175,33.6,2010,7.779
Undaunted: North Africa,2020,2,2,45,60,14,4369,2.31,1817,12848,413,38.73,865,7.766
Underwater Cities,2018,1,4,80,150,12,21742,3.58,8272,83875,1562,59.43,3030,8.045
Unfathomable,2021,3,6,120,240,14,6562,3.12,3903,12924,777,75.84,1112,7.477
Unlock!: Epic Adventures,2019,1,6,60,60,10,2688,2.09,498,8738,54,29.8,495,7.665
Unlock!: Escape Adventures  Squeek & Sausage,2017,1,6,45,75,10,3090,2.05,199,3905,29,25,583,7.154
Unlock!: Escape Adventures  The Formula,2017,1,6,45,75,10,2917,2.29,206,3923,31,29.99,511,6.981
Unlock!: Exotic Adventures,2018,1,6,60,90,10,2442,2.2,385,7341,45,36.99,446,7.285
Unlock!: Game Adventures,2021,1,6,30,60,10,1660,2.31,602,7025,78,39.99,315,7.893
Unlock!: Secret Adventures,2017,1,6,60,60,10,3057,2.11,434,8260,72,29.59,522,7.509
Unlock!: Timeless Adventures,2019,1,6,60,90,10,2936,1.96,662,8639,84,39.99,521,7.741
Unmatched Adventures: Tales to Amaze,2023,1,4,20,60,9,3595,2.27,1687,14440,553,59.95,588,7.991
Unmatched: Cobble & Fog,2020,2,4,20,40,9,8943,1.97,2298,21711,580,49.99,1027,7.94
Unmatched: Hell's Kitchen,2022,2,3,20,40,14,1308,2.18,523,2171,98,34.95,196,8.207
Unmatched: Redemption Row,2022,2,3,20,40,14,1376,2,524,2082,101,29.99,186,8.201
Unmatched: Slings and Arrows,2024,2,4,20,40,9,830,2.38,487,1748,89,38.49,141,8.46
Unsettled,2021,2,4,60,90,14,3470,3.27,3765,13764,905,399.99,945,8.088
Unstoppable,2025,1,2,30,90,14,902,3.14,1639,5296,410,45.37,249,8.402
Vaalbara,2022,2,5,20,20,10,2582,1.73,1539,13681,233,20.99,390,7.192
Vagrantsong,2022,2,4,45,120,14,2495,3.21,3356,10568,509,57.61,649,7.465
Valeria: Card Kingdoms,2016,1,5,30,45,13,6214,1.96,1679,29536,626,35,1271,7.437
Vanuatu,2011,2,5,90,90,12,2848,3.29,620,5786,127,59.95,630,7.221
Vasco da Gama,2009,2,4,60,120,12,4631,3.23,861,8533,170,119,1082,7.21
Vast: The Mysterious Manor,2019,1,5,60,120,13,1586,3.72,1141,3142,290,41.38,430,7.41
Vegas Showdown,2005,3,5,75,75,12,6482,2.36,869,19276,129,76.44,2132,7.145
Verdant,2022,1,5,45,60,10,6522,2.07,2365,36702,705,39.69,1240,7.289
Via Nebula,2016,2,4,45,60,12,4759,2.25,1284,13177,176,29.99,970,7.01
Viceroy,2014,1,4,45,60,13,5756,2.64,618,13864,317,29,1429,6.784
Village,2011,2,4,60,90,12,24044,3.06,4034,52047,1003,83.08,3842,7.486
Vindication,2018,2,5,45,150,14,7971,3.09,3593,22328,1252,124.45,1667,7.781
Vinhos: Deluxe Edition,2016,1,4,90,180,12,7591,4,3531,17456,706,95.99,1286,8.07
Viral,2017,1,5,60,90,12,3311,2.57,1139,6066,125,34.74,641,6.93
Virgin Queen,2012,2,6,420,420,12,1839,4.44,1238,3225,350,72.73,612,7.993
Virgin Queen,2012,2,6,420,420,12,1839,4.44,1235,3228,350,71.24,612,7.993
Viscounts of the West Kingdom,2020,1,4,60,90,12,10895,3.46,3188,38957,870,34.97,1657,7.808
Viticulture,2013,2,6,90,90,13,14996,2.94,4050,43985,952,52,1978,7.474
Viticulture Essential Edition,2015,1,6,45,90,13,52887,2.89,13118,191305,3412,52,6959,7.969
Voidfall,2023,1,4,90,240,15,5654,4.59,6131,20136,2220,120,1240,8.532
Wabash Cannonball,2007,2,6,30,60,12,8560,2.78,1282,26647,318,38.47,2619,7.252
Wallenstein,2002,3,5,150,150,12,3685,3.3,864,7435,86,99.95,1326,7.461
Wallenstein (Second Edition),2012,3,5,90,120,12,1397,3.24,814,1966,96,99.95,373,7.577
Wandering Towers,2022,2,6,30,30,8,5099,1.61,2616,29997,424,44.25,872,7.355
War Chest,2018,2,4,30,30,14,11639,2.31,4135,69601,988,48.44,1752,7.828
War of the Ring,2004,2,4,120,120,12,10890,3.85,2282,14544,883,96.81,3067,7.779
War of the Ring: Second Edition,2011,2,4,150,240,13,23752,4.22,12412,42493,3419,94.71,4063,8.548
War of the Ring: The Card Game,2022,2,4,90,120,13,4331,2.99,2310,13412,722,38.78,733,7.643
Warfighter: The Tactical Special Forces Card Game,2014,1,6,30,180,0,1418,2.74,771,5341,339,89.99,474,7.675
Warfighter: The WWII Tactical Combat Card Game,2016,1,6,30,90,14,1302,3.18,643,5189,272,56.75,337,7.866
Warhammer Quest: Blackstone Fortress,2018,1,5,120,180,12,1507,2.87,782,4486,344,186.95,348,7.794
Warhammer Underworlds: Shadespire,2017,2,2,30,30,12,2949,2.52,707,16222,310,74.95,523,7.591
Warp's Edge,2020,1,1,30,45,10,4065,2.4,2300,23109,571,30.93,850,7.676
Warrior Knights,2006,2,6,120,240,12,4102,3.51,1035,4282,237,149.99,1237,6.867
Washington's War,2010,2,2,90,90,0,2708,2.88,1127,5969,280,73.97,973,7.604
Wasteland Express Delivery Service,2017,2,5,90,120,13,3706,2.96,1961,6865,426,59.95,847,7.304
Watergate,2019,2,2,30,60,12,13386,2.27,4798,39889,721,29.95,1983,7.739
Wavelength,2019,2,12,30,45,14,16450,1.11,4525,53315,660,31.49,2254,7.224
Wayfarers of the South Tigris,2022,1,4,60,90,13,5986,3.81,2487,22553,697,49.37,1033,7.791
Weather Machine,2022,2,4,60,150,14,3803,4.56,3141,11347,905,111.99,887,7.743
Welcome Back to the Dungeon,2016,2,4,30,30,10,4705,1.3,659,8533,107,14.99,837,6.697
Welcome to Everdell,2022,1,4,30,30,6,1726,1.87,1057,9127,290,45,348,7.521
Welcome to the Dungeon,2013,2,4,30,30,10,14836,1.23,1624,42012,326,12.94,2499,6.531
Welcome to the Moon,2021,1,6,25,30,10,8461,2.45,3665,81134,677,44.99,1153,7.889
Welcome To...,2018,1,100,25,25,10,33479,1.84,5528,305004,1460,43.49,4323,7.514
Wendake,2017,1,4,60,120,14,2359,3.58,710,5207,162,118.99,492,7.459
Werewords,2017,4,10,10,10,8,5849,1.16,1169,65545,185,17.94,1042,7.111
Werewords Deluxe Edition,2018,2,20,10,10,8,2242,1.32,633,24318,118,29.94,423,7.551
Western Legends,2018,2,6,60,90,14,12386,2.85,5521,25910,1505,220.18,2194,7.606
When I Dream,2016,4,10,20,40,8,6021,1.19,1657,15052,229,34.99,1067,6.931
Whirling Witchcraft,2021,2,5,15,30,14,1955,1.84,763,12039,152,35.61,364,7.172
Whistle Mountain,2020,2,4,60,90,14,3716,3.01,1844,8786,239,60.68,665,7.54
Whistle Stop,2017,2,5,75,75,13,3736,2.76,1203,9678,183,43.65,772,7.042
Whitehall Mystery,2017,2,4,45,60,13,4488,2.13,2407,11250,290,22.69,830,7.522
Wildlands,2018,2,4,30,60,14,3698,2.24,1948,11343,320,61.27,804,7.271
Wingspan,2019,1,5,40,70,10,105678,2.47,20695,768920,10360,55,14059,8.014
Wingspan Asia,2022,1,2,40,70,10,8661,2.67,3403,25598,741,45,1205,8.236
Witchcraft!,2023,1,1,20,40,10,1977,2.47,2044,7673,523,23.99,411,7.678
Witchstone,2021,2,4,60,90,12,3750,2.76,1387,12832,227,35.63,609,7.509
Wits & Wagers,2005,3,7,25,25,10,15815,1.21,1990,56556,325,40.98,3651,6.928
Wondrous Creatures,2024,1,4,40,80,14,3128,3.02,4859,12138,1639,65,613,8.077
Woodcraft,2022,1,4,60,120,12,5721,3.82,2907,19915,574,56.63,888,7.604
World of Warcraft: Wrath of the Lich King,2021,1,5,45,60,14,3535,2.29,956,7621,332,44.95,588,7.382
World Wonders,2023,1,5,50,70,12,5879,2.26,2794,22742,640,42.98,864,7.629
World's Fair 1893,2016,2,4,35,45,10,4210,2.03,1072,12702,328,37.99,970,7.148
Wyrmspan,2024,1,5,90,90,14,11976,2.81,5752,47916,2190,65,1794,7.989
XenoShyft: Onslaught,2015,1,4,30,60,13,3913,2.62,1208,9278,348,89.98,963,6.892
Yedo: Deluxe Master Set,2020,1,5,60,90,12,1923,3.21,717,5206,262,199.98,518,7.917
YINSH,2003,2,2,30,60,9,9552,2.64,3703,36681,467,40,2322,7.71
Ys,2004,2,4,90,90,12,2636,2.92,470,3983,42,99.99,939,6.897
Yspahan,2006,2,4,45,60,8,8227,2.37,1147,30747,178,44.95,2246,7.05
Zenith,2025,2,4,25,35,12,1477,2.39,1086,12306,260,30.87,225,7.952
ZhanGuo,2014,2,4,60,120,12,3331,3.82,937,7414,180,70,744,7.542
Zhanguo: The First Empire,2023,1,4,60,120,14,1104,3.82,740,2851,172,69.99,208,7.972
Zombicide Season 2: Prison Outbreak,2013,1,6,60,60,13,4831,2.67,714,6647,438,169.95,758,7.341
Zombicide: Black Plague,2015,1,6,60,180,14,16991,2.47,4657,46598,1850,95.99,2596,7.604
Zombicide: Invader,2019,1,6,60,60,14,2855,2.35,802,9435,515,199.95,636,7.753
Zombicide: Undead or Alive,2022,1,6,60,60,14,1471,2.44,438,6890,277,104.98,362,7.996
Zombie Kidz Evolution,2018,2,4,15,15,7,5788,1.37,1377,79853,379,24.99,1041,7.588
Zombie Teenz Evolution,2020,2,4,20,20,8,2197,1.39,556,29827,159,22.24,378,7.624
Zoo Vadis,2023,3,7,20,40,10,3765,2.11,3336,11435,569,54,819,7.505
Zooloretto,2007,2,5,45,45,8,15528,1.86,1639,48752,302,40.72,3813,6.788
