track_name,track_album_release_date,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,track_popularity
Burn - 2004 Remix,1980,0.194,0.932,-6.72,0.0506,0.0142,0.0281,0.403,0.579,195.651,362840,18
Take Your Time (Do It Right),1980,0.863,0.538,-13.924,0.0545,0.0129,0.0188,0.0877,0.877,118.931,460800,58
Jessie's Girl,1981,0.727,0.832,-5.851,0.05,0.164,0,0.105,0.822,131.703,194120,70
Live Wire,1981,0.422,0.901,-6.655,0.0631,9.22E-05,6.78E-06,0.56,0.673,112.445,194587,64
To Cut a Long Story Short - 2010 Remaster,1981,0.577,0.893,-5.113,0.087,0.147,0.802,0.0864,0.86,142.424,199693,30
Open Arms,1981,0.405,0.21,-13.214,0.0279,0.584,0,0.139,0.174,100.577,202173,69
Kids In America,1981,0.557,0.782,-3.899,0.0475,0.0953,6.75E-06,0.118,0.305,159.621,205533,4
Centerfold,1981,0.653,0.677,-12.244,0.0396,0.249,0,0.403,0.888,114.37,216533,71
The Stroke - Remastered,1981,0.67,0.591,-6.012,0.0646,0.62,0,0.373,0.8,91.439,217613,64
Working for the Weekend,1981,0.515,0.766,-12.768,0.0343,0.0249,0.00103,0.455,0.774,146.911,221000,66
Dreaming of Me,1981,0.786,0.902,-5.323,0.0464,0.155,0.00668,0.0174,0.953,134.149,224200,14
Space Age Love Song,1981,0.447,0.744,-4.613,0.0311,3.62E-05,0.106,0.21,0.552,139.959,226693,50
Just Between You And Me,1981,0.511,0.308,-15.021,0.0247,0.408,2.20E-05,0.15,0.377,83.546,235560,47
Don't You Want Me,1981,0.731,0.738,-8.125,0.0377,0.184,0,0.214,0.958,117.656,236920,74
